country,name,symbol,tag,id,issuer,isin,asset class
netherlands,Actiam Responsible Index Fund Equity - North America - B,0P00014EJK,actiam-responsible-index-fund-equib,1025953,ACTIAM N.V.,,equity
netherlands,Asr Pensioen Mixfonds Neutraal,0P00018H29,werknemers-pensioen-mixfonds,1025963,ASR Vermogensbeheer N.V.,NL0012375166,equity
netherlands,Nn Wereldwijd Mix Fonds N.v. P,0P00000C0W,delta-lloyd-mix-fonds,1025893,Delta Lloyd Asset Management NV,NL0000442077,equity
netherlands,Nn Duurzaam Aandelen Fonds - P,0P00000BBG,nn-duurzaam-aandelen-fonds-p,1025886,NN Investment Partners BV,NL0006311789,equity
netherlands,Nn Euro Obligatie Fonds - P,0P00000BA3,nn-euro-obligatie-fonds-p,1025880,NN Investment Partners BV,NL0006311797,bond
netherlands,Actiam Responsible Index Fund Equity - Europe,0P00014EJF,actiam-responsible-index-fund-eu,1025948,ACTIAM N.V.,,equity
netherlands,Nn Euro Rente Fonds - P,0P00000C0U,delta-lloyd-rente-fonds-a,1025892,Delta Lloyd Asset Management NV,NL0000442101,bond
netherlands,Nn Euro Rente Fonds - B,0P00011REZ,delta-lloyd-rente-fonds-b-acc,1025945,Delta Lloyd Asset Management NV,NL0010583415,bond
netherlands,Nn Enhanced Index Sustainable Equity Fund,0P0000UFRC,delta-lloyd-equity-sustainable-glob,1025926,Delta Lloyd Asset Management NV,NL0009712488,equity
netherlands,Dpam Invest B - Equities Euroland V Dis,0P0000ZESQ,b-equities-euroland-v-distribution,1032018,Degroof Petercam Asset Management S.A.,BE6246056327,equity
netherlands,Dpam Invest B - Equities Euroland W Cap,0P0000ZESR,b-equities-euroland-w-capitalisatio,1032019,Degroof Petercam Asset Management S.A.,BE6246057333,equity
netherlands,Robeco Qi Customized Emerging Markets Enhanced Index Equities Fund,0P000187G6,robeco-customized-quant-emerging-ma,1025957,Robeco Institutional Asset Mgmt BV,NL0010280111,equity
netherlands,Allianz Selectie Fonds,0P00000BAX,allianz-selectie-fonds,1025881,Allianz Paraplufonds N.V.,NL0000286912,equity
netherlands,Multipartner Sicav - Robecosam Sustainable Water Fund N Eur,0P0000WLIN,s-robecosam-sustainable-water-fundn,1041137,RobecoSAM AG,LU0805493185,equity
netherlands,Bnp Paribas Obam N.v. - Classic,0P00000B95,bnp-paribas-obam-n.v.-classic-inc,1025876,BNP PARIBAS ASSET MANAGEMENT Nederland NV,NL0006294035,equity
netherlands,Actiam Responsible Index Fund Equity - Pacific,0P00014EJH,actiam-responsible-index-fund-equit,1025950,ACTIAM N.V.,,equity
netherlands,Nn Equity Investment Fund - P,0P00000C0Q,delta-lloyd-investment-fund,1025891,Delta Lloyd Asset Management NV,NL0000286318,equity
netherlands,Skagen Tellus B,0P000133C3,skagen-tellus-b-eur,1032603,SKAGEN AS,,bond
netherlands,Skagen Tellus A,0P0000HPBC,skagen-tellus-a-usd,1032614,SKAGEN AS,,bond
netherlands,Multipartner Sicav - Robecosam Smart Materials Fund N Eur,0P0000WLIQ,s-robecosam-smart-materials-eur-n,1041129,RobecoSAM AG,LU0805493698,equity
netherlands,Nn Sovereign Bond Fund T,0P000011XQ,delta-lloyd-sovereign-bond-fund,1025910,Delta Lloyd Asset Management NV,NL0001130481,bond
netherlands,Actiam Verantwoord Index Aandelenfonds Noord-amerika,AVIAN,actiam-verantwoord-noordamerika,1097555,ACTIAM N.V.,NL0011309323,equity
netherlands,Multipartner Sicav - Robecosam Smart Energy Fund N Eur,0P0000WLIO,s-robecosam-smart-energy-fund-eur-n,1041123,RobecoSAM AG,LU0805493003,equity
netherlands,Actiam Responsible Index Fund Equity - North America - A,0P00014EJJ,actiam-responsible-index-fund-equia,1025952,ACTIAM N.V.,,equity
netherlands,Asn Milieu & Waterfonds Inc,0P00000EMC,asn-milieu-waterfonds-inc,1025897,ASN Bank NV,NL0000280501,equity
netherlands,Nn Global Obligatie Fonds - P,0P00000B9D,nn-global-obligatie-fonds-p,1025879,NN Investment Partners BV,NL0006311839,bond
netherlands,Allianz Europa Obligatie Fonds,0P00000BB0,allianz-europa-obligatie-fonds,1025882,Allianz Paraplufonds N.V.,NL0000286904,bond
netherlands,Sustainable Europe Index Fund,0P0000O86H,sustainable-europe-index-fund,1025923,InsingerGilissen Asset Management N.V.,NL0009347574,equity
netherlands,Dpam Invest B - Real Estate Europe V Dis,0P0000ZET8,b-real-estate-europe-v-distribution,1032023,Degroof Petercam Asset Management S.A.,BE6246058349,equity
netherlands,Dpam Invest B - Real Estate Europe W Cap,0P0000ZET9,b-real-estate-europe-w-capitalisati,1032024,Degroof Petercam Asset Management S.A.,BE6246059354,equity
netherlands,Dpam Invest B - Bonds Eur V Dis,0P0000ZESE,b-bonds-eur-v-distribution,1032014,Degroof Petercam Asset Management S.A.,BE6246045213,bond
netherlands,Dpam Invest B - Bonds Eur W Cap,0P0000ZESF,b-bonds-eur-w-capitalisation,1032015,Degroof Petercam Asset Management S.A.,BE6246046229,bond
netherlands,Nn Information Technology Fund - P,0P00000B99,nn-information-technology-fund-p,1025878,NN Investment Partners BV,NL0006311821,equity
netherlands,Nn Health Care Fund - P,0P00000CZ2,nn-health-care-fund-p,1025895,NN Investment Partners BV,NL0000292274,equity
netherlands,Nn Sovereign Xlt Bond Fund - P,0P0000Z492,delta-lloyd-sovereign-xlt-bond-fund,1025940,Delta Lloyd Asset Management NV,NL0010489373,bond
