name,full_name,tag,id,base,base_name,second,second_name
PYG/BRL,PYG/BRL - Paraguayan Guarani Brazil Real,pyg-brl,10463,PYG,Paraguayan Guarani,BRL,Brazil Real
BRL/UYU,BRL/UYU - Brazil Real Uruguayan Peso,brl-uyu,10458,BRL,Brazil Real,UYU,Uruguayan Peso
UYU/BRL,UYU/BRL - Uruguayan Peso Brazil Real,uyu-brl,10464,UYU,Uruguayan Peso,BRL,Brazil Real
BRL/COP,BRL/COP - Brazil Real Colombian Peso,brl-cop,10459,BRL,Brazil Real,COP,Colombian Peso
COP/BRL,COP/BRL - Colombian Peso Brazil Real,cop-brl,10465,COP,Colombian Peso,BRL,Brazil Real
BRL/PEN,BRL/PEN - Brazil Real Peru Sol,brl-pen,10460,BRL,Brazil Real,PEN,Peru Sol
PEN/BRL,PEN/BRL - Peru Sol Brazil Real,pen-brl,10466,PEN,Peru Sol,BRL,Brazil Real
BRL/AUD,BRL/AUD - Brazil Real Australian Dollar,brl-aud,1506,BRL,Brazil Real,AUD,Australian Dollar
AUD/BRL,AUD/BRL - Australian Dollar Brazil Real,aud-brl,1485,AUD,Australian Dollar,BRL,Brazil Real
BRL/NZD,BRL/NZD - Brazil Real New Zealand Dollar,brl-nzd,9439,BRL,Brazil Real,NZD,New Zealand Dollar
NZD/BRL,NZD/BRL - New Zealand Dollar Brazil Real,nzd-brl,9892,NZD,New Zealand Dollar,BRL,Brazil Real
BRL/CHF,BRL/CHF - Brazil Real Swiss Franc,brl-chf,1508,BRL,Brazil Real,CHF,Swiss Franc
CHF/BRL,CHF/BRL - Swiss Franc Brazil Real,chf-brl,1544,CHF,Swiss Franc,BRL,Brazil Real
BRL/DKK,BRL/DKK - Brazil Real Danish Krone,brl-dkk,1510,BRL,Brazil Real,DKK,Danish Krone
DKK/BRL,DKK/BRL - Danish Krone Brazil Real,dkk-brl,9575,DKK,Danish Krone,BRL,Brazil Real
BRL/CZK,BRL/CZK - Brazil Real Czech Koruna,brl-czk,9416,BRL,Brazil Real,CZK,Czech Koruna
BRL/EUR,BRL/EUR - Brazil Real Euro,brl-eur,9419,BRL,Brazil Real,EUR,Euro
EUR/BRL,EUR/BRL - Euro Brazil Real,eur-brl,1617,EUR,Euro,BRL,Brazil Real
BRL/GBP,BRL/GBP - Brazil Real British Pound,brl-gbp,9420,BRL,Brazil Real,GBP,British Pound
GBP/BRL,GBP/BRL - British Pound Brazil Real,gbp-brl,1736,GBP,British Pound,BRL,Brazil Real
BRL/HUF,BRL/HUF - Brazil Real Hungarian Forint,brl-huf,9421,BRL,Brazil Real,HUF,Hungarian Forint
BRL/ISK,BRL/ISK - Brazil Real Icelandic Kr,brl-isk,9425,BRL,Brazil Real,ISK,Icelandic Kr
BRL/NOK,BRL/NOK - Brazil Real Norwegian Krone,brl-nok,9437,BRL,Brazil Real,NOK,Norwegian Krone
NOK/BRL,NOK/BRL - Norwegian Krone Brazil Real,nok-brl,9841,NOK,Norwegian Krone,BRL,Brazil Real
BRL/PLN,BRL/PLN - Brazil Real Polish Zloty,brl-pln,9444,BRL,Brazil Real,PLN,Polish Zloty
PLN/BRL,PLN/BRL - Polish Zloty Brazil Real,pln-brl,9976,PLN,Polish Zloty,BRL,Brazil Real
BRL/RON,BRL/RON - Brazil Real Romanian Leu,brl-ron,9446,BRL,Brazil Real,RON,Romanian Leu
BRL/RUB,BRL/RUB - Brazil Real Russian Ruble,brl-rub,9447,BRL,Brazil Real,RUB,Russian Ruble
RUB/BRL,RUB/BRL - Russian Ruble Brazil Real,rub-brl,959203,RUB,Russian Ruble,BRL,Brazil Real
BRL/SEK,BRL/SEK - Brazil Real Swedish Krona,brl-sek,9449,BRL,Brazil Real,SEK,Swedish Krona
SEK/BRL,SEK/BRL - Swedish Krona Brazil Real,sek-brl,10130,SEK,Swedish Krona,BRL,Brazil Real
BRL/TRY,BRL/TRY - Brazil Real Turkish Lira,brl-try,9451,BRL,Brazil Real,TRY,Turkish Lira
TRY/BRL,TRY/BRL - Turkish Lira Brazil Real,try-brl,10246,TRY,Turkish Lira,BRL,Brazil Real
BRL/HKD,BRL/HKD - Brazil Real Hong Kong Dollar,brl-hkd,1512,BRL,Brazil Real,HKD,Hong Kong Dollar
HKD/BRL,HKD/BRL - Hong Kong Dollar Brazil Real,hkd-brl,9617,HKD,Hong Kong Dollar,BRL,Brazil Real
BRL/JPY,BRL/JPY - Brazil Real Japanese Yen,brl-jpy,1513,BRL,Brazil Real,JPY,Japanese Yen
JPY/BRL,JPY/BRL - Japanese Yen Brazil Real,jpy-brl,1890,JPY,Japanese Yen,BRL,Brazil Real
BRL/SGD,BRL/SGD - Brazil Real Singapore Dollar,brl-sgd,1515,BRL,Brazil Real,SGD,Singapore Dollar
SGD/BRL,SGD/BRL - Singapore Dollar Brazil Real,sgd-brl,2027,SGD,Singapore Dollar,BRL,Brazil Real
BRL/CNY,BRL/CNY - Brazil Real Chinese Yuan,brl-cny,9415,BRL,Brazil Real,CNY,Chinese Yuan
CNY/BRL,CNY/BRL - Chinese Yuan Brazil Real,cny-brl,9493,CNY,Chinese Yuan,BRL,Brazil Real
BRL/IDR,BRL/IDR - Brazil Real Indonesian Rupiah,brl-idr,9422,BRL,Brazil Real,IDR,Indonesian Rupiah
BRL/INR,BRL/INR - Brazil Real Indian Rupee,brl-inr,9424,BRL,Brazil Real,INR,Indian Rupee
INR/BRL,INR/BRL - Indian Rupee Brazil Real,inr-brl,959204,INR,Indian Rupee,BRL,Brazil Real
BRL/KRW,BRL/KRW - Brazil Real Korean Won,brl-krw,9429,BRL,Brazil Real,KRW,Korean Won
BRL/LKR,BRL/LKR - Brazil Real Sri Lankan Rupee,brl-lkr,9431,BRL,Brazil Real,LKR,Sri Lankan Rupee
BRL/MYR,BRL/MYR - Brazil Real Malaysian Ringgit,brl-myr,9435,BRL,Brazil Real,MYR,Malaysian Ringgit
BRL/NPR,BRL/NPR - Brazil Real Nepalese Rupee,brl-npr,9438,BRL,Brazil Real,NPR,Nepalese Rupee
BRL/PHP,BRL/PHP - Brazil Real Philippine Peso,brl-php,9442,BRL,Brazil Real,PHP,Philippine Peso
BRL/PKR,BRL/PKR - Brazil Real Pakistani Rupee,brl-pkr,9443,BRL,Brazil Real,PKR,Pakistani Rupee
BRL/THB,BRL/THB - Brazil Real Thai Baht,brl-thb,9450,BRL,Brazil Real,THB,Thai Baht
THB/BRL,THB/BRL - Thai Baht Brazil Real,thb-brl,10212,THB,Thai Baht,BRL,Brazil Real
BRL/TWD,BRL/TWD - Brazil Real Taiwan Dollar,brl-twd,9457,BRL,Brazil Real,TWD,Taiwan Dollar
TWD/BRL,TWD/BRL - Taiwan Dollar Brazil Real,twd-brl,10300,TWD,Taiwan Dollar,BRL,Brazil Real
BRL/AED,BRL/AED - Brazil Real UAE Dirham,brl-aed,9412,BRL,Brazil Real,AED,UAE Dirham
AED/BRL,AED/BRL - UAE Dirham Brazil Real,aed-brl,9277,AED,UAE Dirham,BRL,Brazil Real
BRL/BHD,BRL/BHD - Brazil Real Baharain Dinar,brl-bhd,9414,BRL,Brazil Real,BHD,Baharain Dinar
BRL/ILS,BRL/ILS - Brazil Real Israeli Shekel,brl-ils,9423,BRL,Brazil Real,ILS,Israeli Shekel
ILS/BRL,ILS/BRL - Israeli Shekel Brazil Real,ils-brl,9678,ILS,Israeli Shekel,BRL,Brazil Real
BRL/JOD,BRL/JOD - Brazil Real Jordan Dinar,brl-jod,9427,BRL,Brazil Real,JOD,Jordan Dinar
BRL/LBP,BRL/LBP - Brazil Real Lebanese Pound,brl-lbp,9430,BRL,Brazil Real,LBP,Lebanese Pound
BRL/OMR,BRL/OMR - Brazil Real Omani Rial,brl-omr,9440,BRL,Brazil Real,OMR,Omani Rial
BRL/QAR,BRL/QAR - Brazil Real Qatari Riyal,brl-qar,9445,BRL,Brazil Real,QAR,Qatari Riyal
BRL/SAR,BRL/SAR - Brazil Real Saudi Riyal,brl-sar,9448,BRL,Brazil Real,SAR,Saudi Riyal
SAR/BRL,SAR/BRL - Saudi Riyal Brazil Real,sar-brl,10074,SAR,Saudi Riyal,BRL,Brazil Real
BRL/BBD,BRL/BBD - Brazil Real Barbadian Dollar,brl-bbd,9413,BRL,Brazil Real,BBD,Barbadian Dollar
BRL/JMD,BRL/JMD - Brazil Real Jamaican Dollar,brl-jmd,9426,BRL,Brazil Real,JMD,Jamaican Dollar
BRL/XCD,BRL/XCD - Brazil Real East Caribbean Dollar,brl-xcd,9454,BRL,Brazil Real,XCD,East Caribbean Dollar
BRL/EGP,BRL/EGP - Brazil Real Egyptian Pound,brl-egp,9418,BRL,Brazil Real,EGP,Egyptian Pound
BRL/KES,BRL/KES - Brazil Real Kenyan Shilling,brl-kes,9428,BRL,Brazil Real,KES,Kenyan Shilling
BRL/MAD,BRL/MAD - Brazil Real Moroccan Dirham,brl-mad,9434,BRL,Brazil Real,MAD,Moroccan Dirham
BRL/NAD,BRL/NAD - Brazil Real Namibian Dollar,brl-nad,9436,BRL,Brazil Real,NAD,Namibian Dollar
BRL/XAF,BRL/XAF - Brazil Real Central African Franc,brl-xaf,9453,BRL,Brazil Real,XAF,Central African Franc
BRL/XOF,BRL/XOF - Brazil Real West African CFA franc,brl-xof,9455,BRL,Brazil Real,XOF,West African CFA franc
BRL/ZAR,BRL/ZAR - Brazil Real South African Rand,brl-zar,9456,BRL,Brazil Real,ZAR,South African Rand
ZAR/BRL,ZAR/BRL - South African Rand Brazil Real,zar-brl,10407,ZAR,South African Rand,BRL,Brazil Real
CLP/KRW,CLP/KRW - Chilean Peso Korean Won,clp-krw,9569,CLP,Chilean Peso,KRW,Korean Won
CLP/IDR,CLP/IDR - Chilean Peso Indonesian Rupiah,clp-idr,9570,CLP,Chilean Peso,IDR,Indonesian Rupiah
CNY/CLP,CNY/CLP - Chinese Yuan Chilean Peso,cny-clp,9496,CNY,Chinese Yuan,CLP,Chilean Peso
HKD/CLP,HKD/CLP - Hong Kong Dollar Chilean Peso,hkd-clp,9620,HKD,Hong Kong Dollar,CLP,Chilean Peso
INR/CLP,INR/CLP - Indian Rupee Chilean Peso,inr-clp,9729,INR,Indian Rupee,CLP,Chilean Peso
JPY/CLP,JPY/CLP - Japanese Yen Chilean Peso,jpy-clp,9774,JPY,Japanese Yen,CLP,Chilean Peso
PHP/CLP,PHP/CLP - Philippine Peso Chilean Peso,php-clp,9922,PHP,Philippine Peso,CLP,Chilean Peso
PKR/CLP,PKR/CLP - Pakistani Rupee Chilean Peso,pkr-clp,9953,PKR,Pakistani Rupee,CLP,Chilean Peso
SGD/CLP,SGD/CLP - Singapore Dollar Chilean Peso,sgd-clp,10177,SGD,Singapore Dollar,CLP,Chilean Peso
THB/CLP,THB/CLP - Thai Baht Chilean Peso,thb-clp,10213,THB,Thai Baht,CLP,Chilean Peso
TWD/CLP,TWD/CLP - Taiwan Dollar Chilean Peso,twd-clp,10303,TWD,Taiwan Dollar,CLP,Chilean Peso
CLP/PYG,CLP/PYG - Chilean Peso Paraguayan Guarani,clp-pyg,10468,CLP,Chilean Peso,PYG,Paraguayan Guarani
PYG/CLP,PYG/CLP - Paraguayan Guarani Chilean Peso,pyg-clp,10473,PYG,Paraguayan Guarani,CLP,Chilean Peso
CLP/UYU,CLP/UYU - Chilean Peso Uruguayan Peso,clp-uyu,10469,CLP,Chilean Peso,UYU,Uruguayan Peso
UYU/CLP,UYU/CLP - Uruguayan Peso Chilean Peso,uyu-clp,10474,UYU,Uruguayan Peso,CLP,Chilean Peso
CLP/COP,CLP/COP - Chilean Peso Colombian Peso,clp-cop,10470,CLP,Chilean Peso,COP,Colombian Peso
COP/CLP,COP/CLP - Colombian Peso Chilean Peso,cop-clp,10475,COP,Colombian Peso,CLP,Chilean Peso
CLP/PEN,CLP/PEN - Chilean Peso Peru Sol,clp-pen,10471,CLP,Chilean Peso,PEN,Peru Sol
PEN/CLP,PEN/CLP - Peru Sol Chilean Peso,pen-clp,10476,PEN,Peru Sol,CLP,Chilean Peso
EUR/CLP,EUR/CLP - Euro Chilean Peso,eur-clp,1622,EUR,Euro,CLP,Chilean Peso
GBP/CLP,GBP/CLP - British Pound Chilean Peso,gbp-clp,1739,GBP,British Pound,CLP,Chilean Peso
CHF/CLP,CHF/CLP - Swiss Franc Chilean Peso,chf-clp,9543,CHF,Swiss Franc,CLP,Chilean Peso
DKK/CLP,DKK/CLP - Danish Krone Chilean Peso,dkk-clp,9577,DKK,Danish Krone,CLP,Chilean Peso
HUF/CLP,HUF/CLP - Hungarian Forint Chilean Peso,huf-clp,9656,HUF,Hungarian Forint,CLP,Chilean Peso
ISK/CLP,ISK/CLP - Icelandic Kr Chilean Peso,isk-clp,9756,ISK,Icelandic Kr,CLP,Chilean Peso
NOK/CLP,NOK/CLP - Norwegian Krone Chilean Peso,nok-clp,9843,NOK,Norwegian Krone,CLP,Chilean Peso
PLN/CLP,PLN/CLP - Polish Zloty Chilean Peso,pln-clp,9979,PLN,Polish Zloty,CLP,Chilean Peso
RUB/CLP,RUB/CLP - Russian Ruble Chilean Peso,rub-clp,10026,RUB,Russian Ruble,CLP,Chilean Peso
SEK/CLP,SEK/CLP - Swedish Krona Chilean Peso,sek-clp,10132,SEK,Swedish Krona,CLP,Chilean Peso
TRY/CLP,TRY/CLP - Turkish Lira Chilean Peso,try-clp,10248,TRY,Turkish Lira,CLP,Chilean Peso
AED/CLP,AED/CLP - UAE Dirham Chilean Peso,aed-clp,9280,AED,UAE Dirham,CLP,Chilean Peso
ILS/CLP,ILS/CLP - Israeli Shekel Chilean Peso,ils-clp,9681,ILS,Israeli Shekel,CLP,Chilean Peso
SAR/CLP,SAR/CLP - Saudi Riyal Chilean Peso,sar-clp,10077,SAR,Saudi Riyal,CLP,Chilean Peso
AUD/CLP,AUD/CLP - Australian Dollar Chilean Peso,aud-clp,9384,AUD,Australian Dollar,CLP,Chilean Peso
NZD/CLP,NZD/CLP - New Zealand Dollar Chilean Peso,nzd-clp,9893,NZD,New Zealand Dollar,CLP,Chilean Peso
ZAR/CLP,ZAR/CLP - South African Rand Chilean Peso,zar-clp,10410,ZAR,South African Rand,CLP,Chilean Peso
COP/PYG,COP/PYG - Colombian Peso Paraguayan Guarani,cop-pyg,10483,COP,Colombian Peso,PYG,Paraguayan Guarani
PYG/COP,PYG/COP - Paraguayan Guarani Colombian Peso,pyg-cop,10479,PYG,Paraguayan Guarani,COP,Colombian Peso
COP/UYU,COP/UYU - Colombian Peso Uruguayan Peso,cop-uyu,10488,COP,Colombian Peso,UYU,Uruguayan Peso
UYU/COP,UYU/COP - Uruguayan Peso Colombian Peso,uyu-cop,10486,UYU,Uruguayan Peso,COP,Colombian Peso
COP/PEN,COP/PEN - Colombian Peso Peru Sol,cop-pen,10491,COP,Colombian Peso,PEN,Peru Sol
PEN/COP,PEN/COP - Peru Sol Colombian Peso,pen-cop,10493,PEN,Peru Sol,COP,Colombian Peso
DKK/COP,DKK/COP - Danish Krone Colombian Peso,dkk-cop,1584,DKK,Danish Krone,COP,Colombian Peso
EUR/COP,EUR/COP - Euro Colombian Peso,eur-cop,1624,EUR,Euro,COP,Colombian Peso
GBP/COP,GBP/COP - British Pound Colombian Peso,gbp-cop,1741,GBP,British Pound,COP,Colombian Peso
ILS/COP,ILS/COP - Israeli Shekel Colombian Peso,ils-cop,1031406,ILS,Israeli Shekel,COP,Colombian Peso
PYG/UYU,PYG/UYU - Paraguayan Guarani Uruguayan Peso,pyg-uyu,10478,PYG,Paraguayan Guarani,UYU,Uruguayan Peso
UYU/PYG,UYU/PYG - Uruguayan Peso Paraguayan Guarani,uyu-pyg,10482,UYU,Uruguayan Peso,PYG,Paraguayan Guarani
PYG/PEN,PYG/PEN - Paraguayan Guarani Peru Sol,pyg-pen,10480,PYG,Paraguayan Guarani,PEN,Peru Sol
PEN/PYG,PEN/PYG - Peru Sol Paraguayan Guarani,pen-pyg,10484,PEN,Peru Sol,PYG,Paraguayan Guarani
EUR/PYG,EUR/PYG - Euro Paraguayan Guarani,eur-pyg,1686,EUR,Euro,PYG,Paraguayan Guarani
PEN/UYU,PEN/UYU - Peru Sol Uruguayan Peso,pen-uyu,10489,PEN,Peru Sol,UYU,Uruguayan Peso
UYU/PEN,UYU/PEN - Uruguayan Peso Peru Sol,uyu-pen,10487,UYU,Uruguayan Peso,PEN,Peru Sol
EUR/PEN,EUR/PEN - Euro Peru Sol,eur-pen,1682,EUR,Euro,PEN,Peru Sol
GBP/PEN,GBP/PEN - British Pound Peru Sol,gbp-pen,1783,GBP,British Pound,PEN,Peru Sol
ILS/PEN,ILS/PEN - Israeli Shekel Peru Sol,ils-pen,1031407,ILS,Israeli Shekel,PEN,Peru Sol
EUR/UYU,EUR/UYU - Euro Uruguayan Peso,eur-uyu,1711,EUR,Euro,UYU,Uruguayan Peso
ILS/UYU,ILS/UYU - Israeli Shekel Uruguayan Peso,ils-uyu,1031408,ILS,Israeli Shekel,UYU,Uruguayan Peso
EUR/AFN,EUR/AFN - Euro Afghanistan Afghani,eur-afn,1605,EUR,Euro,AFN,Afghanistan Afghani
AZN/RUB,AZN/RUB - Azerbaijani Manat Russian Ruble,azn-rub,997691,AZN,Azerbaijani Manat,RUB,Russian Ruble
RUB/AZN,RUB/AZN - Russian Ruble Azerbaijani Manat,rub-azn,997701,RUB,Russian Ruble,AZN,Azerbaijani Manat
EUR/AZN,EUR/AZN - Euro Azerbaijani Manat,eur-azn,950997,EUR,Euro,AZN,Azerbaijani Manat
EUR/BDT,EUR/BDT - Euro Bangladeshi Taka,eur-bdt,1611,EUR,Euro,BDT,Bangladeshi Taka
GBP/BDT,GBP/BDT - British Pound Bangladeshi Taka,gbp-bdt,1731,GBP,British Pound,BDT,Bangladeshi Taka
BND/GBP,BND/GBP - Brunei Dollar British Pound,bnd-gbp,1504,BND,Brunei Dollar,GBP,British Pound
GBP/BND,GBP/BND - British Pound Brunei Dollar,gbp-bnd,1735,GBP,British Pound,BND,Brunei Dollar
EUR/BND,EUR/BND - Euro Brunei Dollar,eur-bnd,1615,EUR,Euro,BND,Brunei Dollar
EUR/KHR,EUR/KHR - Euro Cambodian Riel,eur-khr,1653,EUR,Euro,KHR,Cambodian Riel
CNY/DKK,CNY/DKK - Chinese Yuan Danish Krone,cny-dkk,1562,CNY,Chinese Yuan,DKK,Danish Krone
DKK/CNY,DKK/CNY - Danish Krone Chinese Yuan,dkk-cny,1583,DKK,Danish Krone,CNY,Chinese Yuan
CNY/CHF,CNY/CHF - Chinese Yuan Swiss Franc,cny-chf,9495,CNY,Chinese Yuan,CHF,Swiss Franc
CHF/CNY,CHF/CNY - Swiss Franc Chinese Yuan,chf-cny,1546,CHF,Swiss Franc,CNY,Chinese Yuan
CNY/CZK,CNY/CZK - Chinese Yuan Czech Koruna,cny-czk,9498,CNY,Chinese Yuan,CZK,Czech Koruna
CNY/EUR,CNY/EUR - Chinese Yuan Euro,cny-eur,9501,CNY,Chinese Yuan,EUR,Euro
EUR/CNY,EUR/CNY - Euro Chinese Yuan,eur-cny,1623,EUR,Euro,CNY,Chinese Yuan
CNY/GBP,CNY/GBP - Chinese Yuan British Pound,cny-gbp,9502,CNY,Chinese Yuan,GBP,British Pound
GBP/CNY,GBP/CNY - British Pound Chinese Yuan,gbp-cny,1740,GBP,British Pound,CNY,Chinese Yuan
CNY/HUF,CNY/HUF - Chinese Yuan Hungarian Forint,cny-huf,9503,CNY,Chinese Yuan,HUF,Hungarian Forint
CNY/ISK,CNY/ISK - Chinese Yuan Icelandic Kr,cny-isk,9507,CNY,Chinese Yuan,ISK,Icelandic Kr
CNY/NOK,CNY/NOK - Chinese Yuan Norwegian Krone,cny-nok,9520,CNY,Chinese Yuan,NOK,Norwegian Krone
NOK/CNY,NOK/CNY - Norwegian Krone Chinese Yuan,nok-cny,9844,NOK,Norwegian Krone,CNY,Chinese Yuan
CNY/PLN,CNY/PLN - Chinese Yuan Polish Zloty,cny-pln,9527,CNY,Chinese Yuan,PLN,Polish Zloty
PLN/CNY,PLN/CNY - Polish Zloty Chinese Yuan,pln-cny,9980,PLN,Polish Zloty,CNY,Chinese Yuan
CNY/RON,CNY/RON - Chinese Yuan Romanian Leu,cny-ron,9529,CNY,Chinese Yuan,RON,Romanian Leu
CNY/RUB,CNY/RUB - Chinese Yuan Russian Ruble,cny-rub,9530,CNY,Chinese Yuan,RUB,Russian Ruble
RUB/CNY,RUB/CNY - Russian Ruble Chinese Yuan,rub-cny,10027,RUB,Russian Ruble,CNY,Chinese Yuan
CNY/SEK,CNY/SEK - Chinese Yuan Swedish Krona,cny-sek,9532,CNY,Chinese Yuan,SEK,Swedish Krona
SEK/CNY,SEK/CNY - Swedish Krona Chinese Yuan,sek-cny,10133,SEK,Swedish Krona,CNY,Chinese Yuan
CNY/TRY,CNY/TRY - Chinese Yuan Turkish Lira,cny-try,9535,CNY,Chinese Yuan,TRY,Turkish Lira
TRY/CNY,TRY/CNY - Turkish Lira Chinese Yuan,try-cny,10249,TRY,Turkish Lira,CNY,Chinese Yuan
CNY/BYN,CNY/BYN - Chinese Yuan Belarusian Ruble,cny-byn,53093,CNY,Chinese Yuan,BYN,Belarusian Ruble
CNY/UAH,CNY/UAH - Chinese Yuan Ukrainian Hryvnia,cny-uah,940807,CNY,Chinese Yuan,UAH,Ukrainian Hryvnia
CNY/HKD,CNY/HKD - Chinese Yuan Hong Kong Dollar,cny-hkd,1564,CNY,Chinese Yuan,HKD,Hong Kong Dollar
HKD/CNY,HKD/CNY - Hong Kong Dollar Chinese Yuan,hkd-cny,1817,HKD,Hong Kong Dollar,CNY,Chinese Yuan
CNY/JPY,CNY/JPY - Chinese Yuan Japanese Yen,cny-jpy,1565,CNY,Chinese Yuan,JPY,Japanese Yen
JPY/CNY,JPY/CNY - Japanese Yen Chinese Yuan,jpy-cny,1893,JPY,Japanese Yen,CNY,Chinese Yuan
CNY/IDR,CNY/IDR - Chinese Yuan Indonesian Rupiah,cny-idr,9504,CNY,Chinese Yuan,IDR,Indonesian Rupiah
IDR/CNY,IDR/CNY - Indonesian Rupiah Chinese Yuan,idr-cny,1843,IDR,Indonesian Rupiah,CNY,Chinese Yuan
CNY/INR,CNY/INR - Chinese Yuan Indian Rupee,cny-inr,9506,CNY,Chinese Yuan,INR,Indian Rupee
INR/CNY,INR/CNY - Indian Rupee Chinese Yuan,inr-cny,1865,INR,Indian Rupee,CNY,Chinese Yuan
CNY/KRW,CNY/KRW - Chinese Yuan Korean Won,cny-krw,9511,CNY,Chinese Yuan,KRW,Korean Won
KRW/CNY,KRW/CNY - Korean Won Chinese Yuan,krw-cny,1915,KRW,Korean Won,CNY,Chinese Yuan
CNY/LKR,CNY/LKR - Chinese Yuan Sri Lankan Rupee,cny-lkr,9513,CNY,Chinese Yuan,LKR,Sri Lankan Rupee
CNY/MYR,CNY/MYR - Chinese Yuan Malaysian Ringgit,cny-myr,9518,CNY,Chinese Yuan,MYR,Malaysian Ringgit
MYR/CNY,MYR/CNY - Malaysian Ringgit Chinese Yuan,myr-cny,1955,MYR,Malaysian Ringgit,CNY,Chinese Yuan
CNY/NPR,CNY/NPR - Chinese Yuan Nepalese Rupee,cny-npr,9521,CNY,Chinese Yuan,NPR,Nepalese Rupee
CNY/PHP,CNY/PHP - Chinese Yuan Philippine Peso,cny-php,9525,CNY,Chinese Yuan,PHP,Philippine Peso
PHP/CNY,PHP/CNY - Philippine Peso Chinese Yuan,php-cny,9923,PHP,Philippine Peso,CNY,Chinese Yuan
CNY/PKR,CNY/PKR - Chinese Yuan Pakistani Rupee,cny-pkr,9526,CNY,Chinese Yuan,PKR,Pakistani Rupee
CNY/SGD,CNY/SGD - Chinese Yuan Singapore Dollar,cny-sgd,9533,CNY,Chinese Yuan,SGD,Singapore Dollar
SGD/CNY,SGD/CNY - Singapore Dollar Chinese Yuan,sgd-cny,2030,SGD,Singapore Dollar,CNY,Chinese Yuan
CNY/THB,CNY/THB - Chinese Yuan Thai Baht,cny-thb,9534,CNY,Chinese Yuan,THB,Thai Baht
THB/CNY,THB/CNY - Thai Baht Chinese Yuan,thb-cny,2050,THB,Thai Baht,CNY,Chinese Yuan
CNY/TWD,CNY/TWD - Chinese Yuan Taiwan Dollar,cny-twd,9540,CNY,Chinese Yuan,TWD,Taiwan Dollar
TWD/CNY,TWD/CNY - Taiwan Dollar Chinese Yuan,twd-cny,2069,TWD,Taiwan Dollar,CNY,Chinese Yuan
CNY/CNH,CNY/CNH - Chinese Yuan Chinese Yuan Offshore,cny-cnh,962664,CNY,Chinese Yuan,CNH, Offshore
CNY/MNT,CNY/MNT - Chinese Yuan Mongolian Tugrik,cny-mnt,1141883,CNY,Chinese Yuan,MNT,Mongolian Tugrik
CNY/ZAR,CNY/ZAR - Chinese Yuan South African Rand,cny-zar,1566,CNY,Chinese Yuan,ZAR,South African Rand
ZAR/CNY,ZAR/CNY - South African Rand Chinese Yuan,zar-cny,2235,ZAR,South African Rand,CNY,Chinese Yuan
CNY/EGP,CNY/EGP - Chinese Yuan Egyptian Pound,cny-egp,9500,CNY,Chinese Yuan,EGP,Egyptian Pound
CNY/KES,CNY/KES - Chinese Yuan Kenyan Shilling,cny-kes,9510,CNY,Chinese Yuan,KES,Kenyan Shilling
CNY/MAD,CNY/MAD - Chinese Yuan Moroccan Dirham,cny-mad,9516,CNY,Chinese Yuan,MAD,Moroccan Dirham
CNY/NAD,CNY/NAD - Chinese Yuan Namibian Dollar,cny-nad,9519,CNY,Chinese Yuan,NAD,Namibian Dollar
CNY/XAF,CNY/XAF - Chinese Yuan Central African Franc,cny-xaf,9538,CNY,Chinese Yuan,XAF,Central African Franc
CNY/AED,CNY/AED - Chinese Yuan UAE Dirham,cny-aed,9488,CNY,Chinese Yuan,AED,UAE Dirham
AED/CNY,AED/CNY - UAE Dirham Chinese Yuan,aed-cny,9281,AED,UAE Dirham,CNY,Chinese Yuan
CNY/BHD,CNY/BHD - Chinese Yuan Baharain Dinar,cny-bhd,9492,CNY,Chinese Yuan,BHD,Baharain Dinar
CNY/ILS,CNY/ILS - Chinese Yuan Israeli Shekel,cny-ils,9505,CNY,Chinese Yuan,ILS,Israeli Shekel
ILS/CNY,ILS/CNY - Israeli Shekel Chinese Yuan,ils-cny,9682,ILS,Israeli Shekel,CNY,Chinese Yuan
CNY/JOD,CNY/JOD - Chinese Yuan Jordan Dinar,cny-jod,9509,CNY,Chinese Yuan,JOD,Jordan Dinar
CNY/LBP,CNY/LBP - Chinese Yuan Lebanese Pound,cny-lbp,9512,CNY,Chinese Yuan,LBP,Lebanese Pound
CNY/OMR,CNY/OMR - Chinese Yuan Omani Rial,cny-omr,9523,CNY,Chinese Yuan,OMR,Omani Rial
CNY/QAR,CNY/QAR - Chinese Yuan Qatari Riyal,cny-qar,9528,CNY,Chinese Yuan,QAR,Qatari Riyal
CNY/SAR,CNY/SAR - Chinese Yuan Saudi Riyal,cny-sar,9531,CNY,Chinese Yuan,SAR,Saudi Riyal
SAR/CNY,SAR/CNY - Saudi Riyal Chinese Yuan,sar-cny,10078,SAR,Saudi Riyal,CNY,Chinese Yuan
KWD/CNY,KWD/CNY - Kuwaiti Dinar Chinese Yuan,kwd-cny,1036846,KWD,Kuwaiti Dinar,CNY,Chinese Yuan
CNY/AUD,CNY/AUD - Chinese Yuan Australian Dollar,cny-aud,9490,CNY,Chinese Yuan,AUD,Australian Dollar
AUD/CNY,AUD/CNY - Australian Dollar Chinese Yuan,aud-cny,1486,AUD,Australian Dollar,CNY,Chinese Yuan
CNY/NZD,CNY/NZD - Chinese Yuan New Zealand Dollar,cny-nzd,9522,CNY,Chinese Yuan,NZD,New Zealand Dollar
