country,name,full_name,symbol,tag,id,issuer,isin,asset_class,underlying
italy,BNP Zt 1379 Azimut Holding 22Jun20,BNP PARIBAS ISSUANCE Zt 13.79 EUR Azimut Holding SpA 22Jun20,NL287231,bnp-zt-1379-azimut-holding-22jun20,1120288,BNP Paribas Issuance BV,NL0012872311,equity,Azimut Holding
italy,SG Brent Crude Oil Short x5 17Dec21,SG ISSUER ZT Brent Crude Oil Future Short x5 17Dec21,LU072578,sg-brent-crude-oil-short-x5-17dec21,1120989,SG Issuer SA,LU1540725782,commodity,Brent Oil
italy,BNP CALL STOXX 50 Future 19Mar21,BNP PARIBAS ISSUANCE CALL EURO STOXX 50 Index Future 19Mar21,NL266385,bnp-call-stoxx-50-future-19mar21,1120503,BNP Paribas Issuance BV,NL0012663850,index,Euro Stoxx 50
italy,Vontobel Call 3X Long  Intesa 16J23,Vontobel Financial Products GmbH Call 3X Long Index linked to Intesa Sanpaolo SpA 16Jun23,DEVN9D0Q,vontobel-call-3x-long-intesa-16j23,1121041,Vontobel Financial Products GmbH,DE000VN9D0Q7,index,
italy,Uni Put Italia Leva 7 Short 16Oct20,UniCredit Bank AG Put Italia Leva 7 Short 16Oct20,DEHV40B6,uni-put-italia-leva-7-short-16oct20,1120943,UniCredit Bank AG,DE000HV40B64,equity,
italy,BNP Put 38 Intesa SanPaolo 18Dec20,BNP PARIBAS ISSUANCE Put 3.8 EUR Intesa SanPaolo SpA 18Dec20,NL231926,bnp-put-38-intesa-sanpaolo-18dec20,1120534,BNP Paribas Issuance BV,NL0012319263,equity,Intesa Sanpaolo
italy,SG 24.12.21 WTI Short,SG Issuer SA 24.12.21 WTI Short,LU072136,sg-24.12.21-wti-short,1121122,SG Issuer SA,LU1540721369,commodity,
italy,BNP Call Eurex DAX Future 15Dec21,BNP PARIBAS ISSUANCE Call Eurex DAX Index Future Continuation 1 15Dec21,NL266641,bnp-call-eurex-dax-future-15dec21,1120605,BNP Paribas Issuance BV,NL0012666416,index,DAX
italy,BNP Call 12500 EUR FTSE MIB 18Dec20,BNP PARIBAS ARBITRAGE ISSUANCE Call 12500 EUR FTSE MIB Index 18Dec20,NL184226,bnp-call-12500-eur-ftse-mib-18dec20,1120469,BNP Paribas Issuance BV,NL0011842265,index,FTSE MIB
italy,BNP CALL FTSE MIB Future 19Mar21,BNP PARIBAS ISSUANCE CALL Milan Stock Exchange FTSE MIB Index Future 19Mar21,NL266387,bnp-call-ftse-mib-future-19mar21,1120619,BNP Paribas Issuance BV,NL0012663876,index,FTSE MIB
italy,Vontobel 5X Long Fixed Lever on MIB,Vontobel Financial Products GmbH 5X Long Fixed Lever on MIB,DEVN9AAL,vontobel-5x-long-fixed-lever-on-mib,1121014,Vontobel Financial Products GmbH,DE000VN9AAL5,index,
italy,Uni Put Italia Leva 7 Short 15Oct21,UniCredit Bank AG Put Italia Leva 7 Short 15Oct21,DEHV42GD,uni-put-italia-leva-7-short-15oct21,1120942,UniCredit Bank AG,DE000HV42GD9,equity,
italy,Vontobel Put 3X Short Tesla 16Jun23,Vontobel Financial Products GmbH Put 3X Short Index linked to Tesla Motors Inc. 16Jun23,DEVN9D1B,vontobel-put-3x-short-tesla-16jun23,1121088,Vontobel Financial Products GmbH,DE000VN9D1B7,index,
italy,SG NASDAQ 100 Short x7 01Apr21,SG ISSUER ZT NASDAQ 100 Short x7 01Apr21,LU137655,sg-nasdaq-100-short-x7-01apr21,1121002,SG Issuer SA,LU1391376552,index,Nasdaq 100
italy,Vontobel 7X Long linked to DAX,Vontobel 7X Long linked to DAX,DEVN9AAA,vontobel-7x-long-linked-to-dax,1120420,Vontobel Financial Products GmbH,DE000VN9AAA8,index,
italy,Vontobel 7X Long SoftRed Wheat 8.95,Vontobel Financial Products GmbH 7X Long Fixed Lever on Soft Red Wheat 8.95,DEVN9ACF,vontobel-7x-long-softred-wheat-8.95,1121026,Vontobel Financial Products GmbH,DE000VN9ACF3,commodity,
italy,Vontobel 7X Short WTI Oil 7.47,Vontobel Financial Products GmbH Fixed Lever 7X Short on WTI Sweet Crude Oil 7.47,DEVN9CG0,vontobel-7x-short-wti-oil-7.47,1121036,Vontobel Financial Products GmbH,DE000VN9CG05,commodity,
italy,Vontobel Put VT 7XS DJ 18Dec20,Vontobel Put VT 7XS DJ 18Dec20,DEVN9ABF,vontobel-put-vt-7xs-dj-18dec20,1121109,Vontobel Financial Products GmbH,DE000VN9ABF5,index,
italy,Vontobel 7X Short linked to DAX,Vontobel 7X Short linked to DAX,DEVN9AAB,vontobel-7x-short-linked-to-dax,1120424,Bank Vontobel AG,DE000VN9AAB6,index,
italy,BNP Put FTSE MIB Future 17Dec21,BNP PARIBAS ISSUANCE Put Milan Stock Exchange FTSE MIB Index Future 17Dec21,NL266640,bnp-put-ftse-mib-future-17dec21,1120616,BNP Paribas Issuance BV,NL0012666408,index,FTSE MIB
italy,Vontobel Put VT 7XS Nasdaq 100,Vontobel Put VT 7XS Nasdaq 100 18Dec20,DEVN9AA7,vontobel-put-vt-7xs-nasdaq-100,1121113,Vontobel Financial Products GmbH,DE000VN9AA78,index,
italy,Uni Call Italia X 7 Long 16Oct20,UniCredit Bank AG Call Italia X 7 Long Index 16Oct20,DEHV40B5,uni-call-italia-x-7-long-16oct20,1120931,UniCredit Bank AG,DE000HV40B56,index,
italy,SG S&P 500 TR 01Apr21,SG ISSUER ZT S&P 500 TR 01Apr21,LU137671,sg-s-p-500-tr-01apr21,1121129,SG Issuer SA,LU1391376719,index,S&P 500
italy,SG GAS X7 LONG 18Jun21,SG ISSUER ZT GAS X7 LONG 18Jun21,LU417093,sg-gas-x7-long-18jun21,1120994,SG Issuer SA,LU1775931840,commodity,
italy,BNP Call FTSE MIB Future 17Dec21,BNP PARIBAS ISSUANCE Call Milan Stock Exchange FTSE MIB Index Future 17Dec21,NL266639,bnp-call-ftse-mib-future-17dec21,1120618,BNP Paribas Issuance BV,NL0012666390,index,FTSE MIB
italy,Vontobel Put VT 7XS FTSE MIB,Vontobel Put VT 7XS FTSE MIB 18Dec20,DEVN9DZW,vontobel-put-vt-7xs-ftse-mib,1121112,Vontobel Financial Products GmbH,DE000VN9DZW3,index,
italy,Vontobel Put 7X Short  Brent Oil,Vontobel Financial Products GmbH Put 7X Short Index linked to Brent Crude Oil Future 18Dec20,DEVN9KLA,vontobel-put-7x-short-brent-oil,1121090,Vontobel Financial Products GmbH,DE000VN9KLA4,commodity,
italy,Vontobel Call VT 7XL FTSE MIB,Vontobel Call VT 7XL FTSE MIB 18Dec20,DEVN9DZV,vontobel-call-vt-7xl-ftse-mib,1121075,Vontobel Financial Products GmbH,DE000VN9DZV5,index,
italy,SG 25.06.21 FTSE x5 Short,SG Issuer SA 25.06.21 FTSE x5 Short,LU940053,sg-25.06.21-ftse-x5-short,1120985,SG Issuer SA,LU1489400538,index,
italy,Vontobel 7X Long on Coffee 10.74,Vontobel Financial Products GmbH 7X Long Fixed Lever on Coffee 10.74,DEVN9CG5,vontobel-7x-long-on-coffee-10.74,1121022,Vontobel Financial Products GmbH,DE000VN9CG54,commodity,
italy,Vontobel 7X Short Brent Oil 6.03,Vontobel Financial Products GmbH Fixed Lever 7X Short on Brent Crude Oil 6.03,DEVN9CG1,vontobel-7x-short-brent-oil-6.03,1121027,Vontobel Financial Products GmbH,DE000VN9CG13,commodity,
italy,Vontobel Call VT 7XL SP 500 18Dec20,Vontobel Call VT 7XL SP 500 18Dec20,DEVN9AA1,vontobel-call-vt-7xl-sp-500-18dec20,1121078,Vontobel Financial Products GmbH,DE000VN9AA11,index,
italy,SG FTSE MIB TR 5x Daily RT 18Jun21,SG Issuer SA ZT FTSE MIB TR 5x Daily Leveraged RT Net-Of-Tax (Lux) Index 18Jun21,LU940045,sg-ftse-mib-tr-5x-daily-rt-18jun21,1120993,SG Issuer SA,LU1489400454,index,
italy,Vontobel Call VT 7XL DJ 8.95,Vontobel Financial Products GmbH Call VT 7XL DJ 8.95 18Dec20,DEVN9ABD,vontobel-call-vt-7xl-dj-8.95,1121073,Vontobel Financial Products GmbH,DE000VN9ABD0,index,
italy,Vontobel Put VT 5XS Natural Gas,Vontobel Put VT 5XS Natural Gas 18Dec20,DEVN9AB0,vontobel-put-vt-5xs-natural-gas,1121103,Vontobel Financial Products GmbH,DE000VN9AB02,commodity,
netherlands,GS Call 452 EUR DAIMLER BENZ 31Dec9,GOLDMAN SACHS & CO WERTP.GMBH Call 45.2 EUR DAIMLER BENZ 31Dec99,NL0011049622,gs-call-452-eur-daimler-benz-31dec9,1121561,Goldman Sachs & Co Wertpapier GMBH,NL0011049622,equity,Daimler AG
netherlands,GS Call 2680 EUR STOXX 50 31Dec99,GOLDMAN SACHS & CO WERTP.GMBH Call 2680 EUR EURO STOXX 50 31Dec99,NL0011602669,gs-call-2680-eur-stoxx-50-31dec99,1121583,Goldman Sachs & Co Wertpapier GMBH,NL0011602669,index,EURO STOXX 50
