name,tag
Facephi,facephi-biometria-sa
Logista,logista
Cerbium,only-apartments-sa
Home Meal,home-meal
Aena,aena-aeropuertos-sa
Uro Property Holdings,uro-property-holdings
NBI Bearings Europe,nbi-bearings-europe-s.a.
Naturhouse,naturhouse-health-sa
Cellnex Telecom,cellnex-telecom
Talgo,talgo
Euskaltel SA,euskaltel-sa
Fidere Patrimonio SOCIMI SA,fidere-patrimonio-socimi-sa
Grenergy Renovables SA,grenergy-renovables-sa
Inclam CO2 SA,inclam-co2-sa
Trajano Iberia Socimi SA,trajano-iberia-socimi-sa
Lleidanetworks Serveis Telematics,lleidanetworks-serveis-telematics
Autonomy Spain Real Estate Socimi S,autonomy-spain-real-estate-socimi-s
Obsido Socimi SA,obsido-socimi-sa
Pharma Mar,pharma-mar-sau
Gigas Hosting SA,gigas-hosting-sa
Neol Biosolutions SA,neol-biosolutions-sa
Agile Content SA,agile-content-sa
Think Smart SA,think-smart-sa
Zambal Spain Socimi SA,zambal-spain-socimi-sa
Oryzon Genomics,oryzon-genomics-sa
Tecnoquark Trust SA,tecnoquark-trust-sa
Clerhp Estructuras,clerhp-estructuras-sa
Corpfin Capital Prime Retail III,corpfin-capital-prime-retail-iii-so
Global Dominion,global-dominion-access-sa
Telepizza,telepizza-group-sa
Parques Reunidos,parques-reunidos-servicios
Jaba I Inversiones,jaba-i-inversiones-inmobiliarias-so
Corporacion Geo SAB,corporacion-geo-sab-de-cv
Silvercode Investments,silvercode-investments-socimi-sa
Coca-Cola European,coca-cola-ent?cid=980157
Asturias Retail,brookfield-business-partners-lp
Vitruvio Real Estate,vitruvio-real-estate
Isc Fresh Water,isc-fresh-water-investment-socimi
Quonia SOCIMI,quonia-socimi-sa
Atrys Health,atrys-health-sl
Voztelecom Oigaa360,voztelecom-oigaa360-sa
GMP Property,gmp-property-socimi-sa
Optimum Re Spain,optimum-re-spain-socimi-sa
CommCenter,commcenter-sa
ECG,euroconsult-engineering-consulting
Clever Global,clever-global-sa
Mondo TV,mondo-tv-iberoamerica-sa
Pangaea Oncology,pangaea-oncology-sa
VBARE Iberian Properties,vbare-iberian-properties-socimi-sa
Ores Socimi,olimpo-real-estate-sa
Prosegur Cash,prosegur-cash-sa
Neinor Homes,neinor-homes-slu
Gestamp,gestamp-automocion-sa
Optimum III Value Added,optimum-iii-value-added-residential
Asturiana de Laminados,asturiana-de-laminados-sa
Unicaja Banco,unicaja-banco-sa
GGC,general-de-galerias-comerciales
Numulae Gestion de Servicios,numulae-gestion-de-servicios
Borges Agricultural,borges-agricultural-industrial-nuts
AM Locales Property,am-locales-property
Grupo Ortiz,grupo-ortiz
Domo Activos,domo-activos
Aedas Homes,aedas-homes-sl
Netex Knowledge,netex-knoledge-factory
Greenalia,greenalia
Student Properties,student-properties
Heref Habaneras,heref-habaneras
Robot,robot
Tempore Properties,tempore-properties-socimi
Serrano 61 Desarrollo,serrano-61-desarrollo-socimi
Ap67 Socimi,ap67-socimi
Tier1,tier-1-technology
Torbel Investmentד,torbel-investments-2015-socimi
Quid Pro Quo Alquiler,quid-pro-quo-alquiler-seguro-socimi
Excem Socimi,excem-capital-partners-sociedad
Castellana Properties,castellana-properties-socimi
Testa Residencial,testa-residencial-socimi
Berkeley Energy,berkeley-resources-limited?cid=1093905
Alquiber Quality,alquiber-quality
Go Madrid Benz,go-madrid-benz
Arima Real Estate,arima-real-estate
Amrest,amrest-holdings-se?cid=1111709
Atom Hoteles,atom-hoteles-socimi
Solarpack Corporación Tecnológica,solarpack-corporacion-tecnologica
Arrienda Rental,arrienda-rental
Vivenio Residencial,vivenio-residencial
Almagro Capital,almagro-capital-socimi
