country,name,symbol,tag,id,currency
australia,BetaShares Australian Small Companies Select Fund,SMLL,betashares-au-small-comp-select-fnd,1013259,AUD
australia,iShares China LargeCap,IZZ,ishares-ftse-china-25-aus,47694,AUD
australia,BetaShares Strong US Dollar hedge fund,YANK,betashares-stg-usd-hdg-fnd,1009163,AUD
australia,VanEck Vectors Morningstar Wide Moat,MOAT,market-vectors-morningstar-wide-moa,962169,AUD
australia,VanEck Vectors Australian Banks,MVB,market-vectors-australian-banks,953171,AUD
australia,Betashares Global Energy Companies,FUEL,betashares-global-energy-companies,985880,AUD
australia,BetaShares Strong Australian Dollar hedge,AUDS,betashares-strong-aus-dollar,1031306,AUD
australia,SPDR S&P World Ex Australia Hedged,WXHG,spdr-sp-world-ex-australia-hedged,953181,AUD
australia,SPDR S&P/ASX 50,SFY,spdr-s-p-asx-50-fund,47718,AUD
australia,VanEck Vectors MSCI Multifactor Emerging Markets E,EMKT,vaneck-vectors-msci-mltfctr-em-eq,1073662,AUD
australia,Vanguard MSCI International Small Companies,VISM,vanguard-msci-intl-small-companies,1112797,AUD
australia,ETFS Physical Precious Metal Basket,ETPMPM,etfs-physical-pm-basket-aus,47702,AUD
australia,BetaShares Australian EquitiesBear,BEAR,betashares-aus.-eq.-bear-hedge,47713,AUD
australia,iShares UBS Government Inflation,ILB,ishares-ubs-gov-inflation,38955,AUD
australia,VanEck Vectors MSCI International Sustainable Equi,ESGI,vaneck-vectors-msci-intl-sstnbl-eq,1072346,AUD
australia,Vanguard MSCI Australian Small Companies,VSO,vanguard-msci-aus.-small-comp.,38970,AUD
australia,UBS IQ MSCI Asia Apex 50 Ethical,UBP,ubs-iq-msci-asia-apex-50-ethical,956399,AUD
australia,Betashares FTSE RAFI US 1000,QUS,betashares-ftse-rafi-us-1000,953167,AUD
australia,iShares MSCI EAFE,IVE,ishares-msci-eafe-aud,47692,AUD
australia,Betashares Global Income Leaders,INCM,betashares-global-income-leaders,1097697,AUD
australia,iShares Global Consumer Staples,IXI,ishares-s-p-global-cons.-staples,47707,AUD
australia,SPDR S&P/ASX Australian Bond,BOND,spdr-s-p-asx-australian-bond-fund,38947,AUD
